headword,CEFR,lemma,pos
flood,B1,flood,NOUN
floor,A1,floor,NOUN
flour,A2,flour,NOUN
flow,B1,flow,VERB
flow,B1,flow,VERB
flower,A1,flower,NOUN
flu,B1,flu,PROPN
fluency,B2,fluency,NOUN
fluent,B1,fluent,ADJ
fluently,B1,fluently,ADV
fluid,B2,fluid,NOUN
flunk,B1,flunk,NOUN
flute,B1,flute,NOUN
flutter,B2,flutter,NOUN
fly,A1,fly,VERB
fly,A1,fly,VERB
focus,B2,focus,VERB
focus,A1,focus,VERB
fog,A2,fog,NOUN
foggy,A1,foggy,ADJ
fold,B1,fold,VERB
fold,B1,fold,VERB
folder,A2,folder,NOUN
folk,B1,folk,NOUN
follow,A2,follow,VERB
follower,B2,follower,NOUN
following,A1,follow,VERB
following,B2,follow,VERB
folly,B2,folly,ADJ
fond,B1,fond,PROPN
fondly,B2,fondly,ADV
fondness,B1,fondness,NOUN
food,A1,food,NOUN
fool,A2,fool,NOUN
fool,B1,fool,NOUN
foolish,B1,foolish,ADJ
foolishly,B2,foolishly,ADV
foot,B1,foot,NOUN
football,A1,football,NOUN
footballer,A2,footballer,NOUN
footnote,B2,footnote,VERB
for,A2,for,ADP
for,A1,for,ADP
forbid,A2,forbid,VERB
forbidden,B1,forbid,VERB
force,A2,force,NOUN
force,B2,force,NOUN
forcefully,B2,forcefully,ADV
forecast,B1,forecast,PROPN
forehead,B1,forehead,PROPN
foreign,A1,foreign,ADJ
foreigner,A1,foreigner,NOUN
foreman,B2,foreman,PROPN
foresee,B2,foresee,VERB
forest,A2,forest,NOUN
forestry,B2,forestry,PROPN
forever,A2,forever,ADV
forget,A1,forget,VERB
forgive,B1,forgive,VERB
fork,A2,fork,VERB
form,A1,form,NOUN
form,B1,form,NOUN
formal,B1,formal,ADJ
formally,B1,formally,ADV
format,B1,format,NOUN
format,B1,format,NOUN
formation,B2,formation,NOUN
former,B1,former,ADJ
formerly,B2,formerly,ADV
formidable,B2,formidable,ADJ
formula,B1,formula,NOUN
forth,B1,forth,ADV
forthcoming,B2,forthcoming,ADJ
fortnight,B1,fortnight,PROPN
fortunate,B1,fortunate,VERB
fortunately,A2,fortunately,ADV
fortune,A2,fortune,NOUN
forty,A1,forty,NUM
forward,A2,forward,ADV
foul,B2,foul,PROPN
found,B2,find,VERB
foundation,B1,foundation,PROPN
fountain,B1,fountain,VERB
four,A1,four,NUM
fourteen,A1,fourteen,NUM
fox,B2,fox,NOUN
fragment,B1,fragment,NOUN
fragrance,B2,fragrance,PROPN
frame,A2,frame,NOUN
frame,B2,frame,NOUN
frank,A2,frank,PROPN
frankly,B2,frankly,ADV
frantically,B2,frantically,ADV
fraud,B2,fraud,NOUN
freak,B2,freak,NOUN
free,A1,free,ADJ
free,A2,free,ADJ
free,B2,free,ADJ
freedom,A2,freedom,NOUN
freely,B1,freely,ADV
freeze,A2,freeze,VERB
freezer,B1,freezer,PROPN
freezing,B1,freeze,VERB
frequency,B1,frequency,NOUN
frequent,B1,frequent,ADJ
frequently,B1,frequently,ADV
fresh,A2,fresh,ADJ
freshman,B1,freshman,NOUN
Friday,A1,Friday,PROPN
fridge,A2,fridge,NOUN
fried,A2,fry,VERB
friend,A1,friend,NOUN
friendliness,B1,friendliness,VERB
friendly,B2,friendly,ADJ
friendship,A2,friendship,NOUN
frigate,B2,frigate,VERB
fright,B1,fright,PROPN
frighten,A2,frighten,VERB
frightened,A2,frighten,VERB
frightening,A2,frightening,ADJ
frog,A1,frog,NOUN
from,A1,from,ADP
front,A1,front,NOUN
front,A2,front,NOUN
frontier,B2,frontier,NOUN
frost,B1,frost,NOUN
frozen,B1,frozen,ADJ
frugal,B2,frugal,ADJ
fruit,A1,fruit,NOUN
frustrated,B1,frustrate,VERB
frustration,B1,frustration,NOUN
fry,A2,fry,PROPN
fry,B1,fry,PROPN
frying pan,B1,fry,VERB
fuel,B1,fuel,NOUN
fulfill/fulfil,B2,fulfill,PROPN
full,A1,full,ADJ
full stop,B1,full,ADJ
full-time,B1,full,ADJ
full-time,B1,full,ADJ
fully,A2,fully,ADV
fume,B2,fume,NOUN
fun,A1,fun,NOUN
fun,A1,fun,NOUN
function,B1,function,NOUN
function,A2,function,NOUN
functional,B2,functional,ADJ
functionality,B2,functionality,NOUN
fund,B1,fund,NOUN
fund,B1,fund,NOUN
fundamental,B2,fundamental,ADJ
funeral,B1,funeral,PROPN
funk,B2,funk,NOUN
funky,B2,funky,ADJ
funny,A1,funny,ADJ
fur,B1,fur,NOUN
furious,B2,furious,ADJ
furiously,B2,furiously,ADV
furnish,B1,furnish,PROPN
furniture,A2,furniture,NOUN
furor/furore,B2,furor,NOUN
further,A2,far,ADV
further,B1,far,ADV
furthermore,B1,furthermore,ADV
furthest,B1,furthest,ADV
fuss,B1,fuss,VERB
future,B1,future,NOUN
future,A1,future,NOUN
gaiety,B2,gaiety,NOUN
gain,B1,gain,VERB
gain,B1,gain,VERB
gall,B1,gall,PROPN
gallery,A2,gallery,PROPN
gallon,B1,gallon,NOUN
gambling,B2,gamble,VERB
game,A1,game,NOUN
gang,B2,gang,NOUN
gangster,B2,gangster,PROPN
gap,B1,gap,NOUN
garage,A2,garage,NOUN
garbage,A1,garbage,NOUN
garden,A1,garden,NOUN
gardener,B2,gardener,NOUN
gardening,B1,garden,VERB
garlic,A2,garlic,PROPN
garment,B1,garment,NOUN
gas,A2,gas,NOUN
gasp,B2,gasp,NOUN
gate,A2,gate,PROPN
gateway,B2,gateway,NOUN
gather,A2,gather,VERB
gaudy,B2,gaudy,PROPN
gay,B1,gay,ADJ
gaze,B2,gaze,NOUN
gear,B2,gear,NOUN
gee,B1,gee,NOUN
gender,A2,gender,NOUN
gene,B1,gene,NOUN
general,B1,general,ADJ
general,B1,general,ADJ
generalization/generalisation,B2,generalization,NOUN
generalize/generalise,B2,generalize,VERB
generally,B1,generally,ADV
generate,B1,generate,VERB
generation,A2,generation,NOUN
generosity,B2,generosity,NOUN
generous,B1,generous,ADJ
generously,B2,generously,ADV
genetic,B1,genetic,ADJ
genetically,B1,genetically,ADV
genetics,B1,genetic,NOUN
genius,B2,genius,NOUN
genre,B2,genre,VERB
gentle,A2,gentle,ADJ
gentleman,B1,gentleman,NOUN
gently,B2,gently,ADV
genuine,B2,genuine,ADJ
genuinely,B2,genuinely,ADV
geographic,B2,geographic,PROPN
geographical,B1,geographical,ADJ
geography,B1,geography,NOUN
geology,B1,geology,NOUN
germ,B2,germ,NOUN
gesture,B1,gesture,VERB
get,A1,get,VERB
getaway,B2,getaway,VERB
ghetto,B2,ghetto,NOUN
ghost,A1,ghost,NOUN
giant,B1,giant,NOUN
gift,A1,gift,NOUN
gifted,B1,gift,VERB
giggle,B1,giggle,VERB
ginger,B1,ginger,NOUN
giraffe,B1,giraffe,PROPN
girl,A1,girl,NOUN
girlfriend,A1,girlfriend,VERB
give,A1,give,VERB
giveaway,B2,giveaway,NOUN
given,A2,give,VERB
glacis,B2,glacis,PROPN
glad,A1,glad,ADJ
glamorous/glamourous,B2,glamorous,ADJ
glance,B1,glance,NOUN
glance,B1,glance,NOUN
glare,B2,glare,NOUN
glass,A1,glass,NOUN
glasses,A1,glass,NOUN
gleam,B2,gleam,PROPN
glee,B2,glee,PROPN
glide,B1,glide,NOUN
glimpse,B1,glimpse,NOUN
glint,B1,glint,NOUN
global,B1,global,PROPN
global warming,B2,global,ADJ
globally,B2,globally,ADV
globe,A2,globe,PROPN
glocal,B2,glocal,ADJ
gloomy,B2,gloomy,ADJ
glorify,B2,glorify,VERB
glorious,B1,glorious,ADJ
glory,B1,glory,NOUN
glove,A2,glove,NOUN
glow,B2,glow,VERB
go,B1,go,VERB
go,A1,go,VERB
goal,A1,goal,NOUN
goalkeeper,B1,goalkeeper,NOUN
goat,B2,goat,PROPN
god,B2,god,PROPN
goddess,B1,goddess,NOUN
godly,B2,godly,ADV
gold,A1,gold,NOUN
gold,A2,gold,NOUN
golden,A2,golden,ADJ
golf,A2,golf,NOUN
golfer,B1,golfer,VERB
good,A1,good,ADJ
good,B2,good,ADJ
good afternoon,A1,good,ADJ
good morning,A1,good,ADJ
good night,A1,good,ADJ
good-looking,A2,good,ADV
goodness,B1,goodness,NOUN
goods,B1,good,NOUN
goodwill,B2,goodwill,NOUN
gook,B2,gook,NOUN
gorge,B2,gorge,NOUN
gorgeous,B1,gorgeous,ADJ
gorilla,B1,gorilla,PROPN
gossip,B1,gossip,NOUN
gossip,B2,gossip,NOUN
govern,B1,govern,VERB
government,A2,government,NOUN
governmental,B2,governmental,PROPN
governor,B1,governor,NOUN
gown,B1,gown,PROPN
grab,B1,grab,NOUN
grace,A2,grace,NOUN
graceful,B1,graceful,ADJ
gracefulness,B2,gracefulness,NOUN
grade,A1,grade,NOUN
grade,B2,grade,NOUN
gradual,B2,gradual,ADJ
gradually,A2,gradually,ADV
graduate,B1,graduate,NOUN
graduate,A2,graduate,NOUN
graduation,B1,graduation,NOUN
grain,B2,grain,NOUN
gram/gramme,A2,gram,PROPN
grammar,A1,grammar,PROPN
grand,B2,grand,PROPN
grandchild,A2,grandchild,VERB
granddad,A2,granddad,PROPN
granddaughter,A2,granddaughter,NOUN
grandfather,A1,grandfather,NOUN
grandma,A1,grandma,NOUN
grandmother,A1,grandmother,NOUN
grandpa,A1,grandpa,PROPN
grandparent,A1,grandparent,NOUN
grandson,A2,grandson,NOUN
granny,A2,granny,PROPN
grant,B1,grant,NOUN
grant,B1,grant,NOUN
grape,A1,grape,NOUN
graph,B1,graph,NOUN
graphic,B1,graphic,PROPN
graphically,B2,graphically,ADV
graphics,B1,graphic,NOUN
grasp,B2,grasp,VERB
grass,A1,grass,NOUN
grateful,A2,grateful,ADJ
gratitude,B1,gratitude,VERB
grave,B1,grave,NOUN
gravestone,B2,gravestone,NOUN
gravitation,B2,gravitation,NOUN
gravy,B1,gravy,NOUN
gray/grey,A1,gray,ADJ
gray/grey,A1,gray,ADJ
great,A1,great,ADJ
greatly,A2,greatly,ADV
greatness,B2,greatness,NOUN
greedy,A2,greedy,ADJ
green,A1,green,PROPN
green,A2,green,PROPN
greenhouse,B1,greenhouse,NOUN
greet,A1,greet,NOUN
greeting,B1,greet,VERB
grief,B2,grief,NOUN
grieve,B2,grieve,VERB
grill,B1,grill,NOUN
grill,B1,grill,NOUN
grilled,A2,grill,VERB
grim,B2,grim,ADJ
grin,B2,grin,NOUN
grip,B2,grip,NOUN
grip,B2,grip,NOUN
grocery store,A2,grocery,NOUN
groom,B1,groom,PROPN
gross,B2,gross,ADJ
ground,A1,ground,NOUN
ground floor,B1,ground,NOUN
group,A1,group,NOUN
group,B1,group,NOUN
grouping,B1,group,VERB
grow,A1,grow,VERB
growing,B2,grow,VERB
grown-up,B2,grow,VERB
grown-up,B2,grow,VERB
growth,B1,growth,NOUN
guarantee,B1,guarantee,VERB
guarantee,B2,guarantee,VERB
guard,A2,guard,NOUN
guard,B2,guard,NOUN
guerrilla,B2,guerrilla,PROPN
guess,B1,guess,VERB
guess,A1,guess,VERB
guest,A1,guest,NOUN
guidance,B1,guidance,NOUN
guide,B1,guide,VERB
guide,B1,guide,VERB
guidebook,A2,guidebook,NOUN
guideline,B2,guideline,NOUN
guilt,B1,guilt,NOUN
guilty,B1,guilty,ADJ
guitar,A1,guitar,NOUN
guitarist,B1,guitarist,NOUN
gulp,B2,gulp,PROPN
gum,B2,gum,NOUN
gun,A2,gun,PROPN
gunshot,B2,gunshot,NOUN
guts,B2,gut,NOUN
guy,A1,guy,NOUN
gym,B1,gym,PROPN
gymnastic,B2,gymnastic,ADJ
gymnastics,B1,gymnastic,NOUN
habit,A1,habit,NOUN
habitant,B2,habitant,NOUN
habitat,B1,habitat,PROPN
had,A1,have,VERB
hail,B2,hail,NOUN
hair,A1,hair,NOUN
haircut,A1,haircut,PROPN
hairdresser,B1,hairdresser,NOUN
hairdryer,B1,hairdryer,PROPN
hairy,B2,hairy,PROPN
half,B1,half,ADJ
half,A2,half,ADJ
half,A1,half,ADJ
half,A2,half,ADJ
half-price,A2,half,ADJ
half-price,A2,half,ADJ
hall,A1,hall,PROPN
ham,A2,ham,PROPN
hamburger,A1,hamburger,NOUN
hammer,B1,hammer,NOUN
hammer,B2,hammer,NOUN
hand,A1,hand,NOUN
hand,A2,hand,NOUN
handbag,A2,handbag,PROPN
handball,B1,handball,PROPN
hand-held,B1,hand,NOUN
handicap,B2,handicap,ADJ
handicapped,A2,handicap,VERB
handicraft,B2,handicraft,NOUN
handkerchief,B1,handkerchief,NOUN
handle,A2,handle,VERB
handle,B1,handle,VERB
handout,B2,handout,VERB
handrail,B2,handrail,NOUN
handshake,B1,handshake,VERB
handsome,A1,handsome,ADJ
handwriting,B1,handwriting,NOUN
handy,B1,handy,ADJ
hang,B2,hang,VERB
hang,B1,hang,VERB
hanging,B1,hang,VERB
happen,A1,happen,VERB
happily,A2,happily,ADV
happiness,A2,happiness,NOUN
happy,A1,happy,ADJ
harbor/harbour,B1,harbor,PROPN
hard,A1,hard,ADJ
hard,A1,hard,ADJ
hard drive,B2,hard,PROPN
hardly,A2,hardly,ADV
hardship,B1,hardship,NOUN
hardware,B2,hardware,NOUN
hard-working,B1,hard,ADV
harm,B2,harm,NOUN
harm,A2,harm,NOUN
harmful,A2,harmful,ADJ
harmless,B2,harmless,ADJ
harmony,A2,harmony,PROPN
harness,B1,harness,ADJ
harrow,B2,harrow,PROPN
harvest,A2,harvest,NOUN
has,A1,have,VERB
haste,B2,haste,NOUN
hastily,B2,hastily,ADV
hasty,B1,hasty,ADJ
hat,A1,hat,NOUN
hatch,B1,hatch,PROPN
hatching,B2,hatch,VERB
hate,B1,hate,VERB
hate,A2,hate,VERB
hatred,B1,hatre,VERB
haunt,B1,haunt,VERB
haunt,B2,haunt,VERB
haunting,B2,haunt,VERB
have,A1,have,VERB
have to,A1,have,VERB
haven,B1,haven,NOUN
hay,B2,hay,PROPN
hazard,B1,hazard,NOUN
hazardous,B2,hazardous,ADJ
he,A1,he,PRON
head,A1,head,NOUN
head,A2,head,NOUN
headache,A1,headache,PROPN
headline,B1,headline,NOUN
headphone,A2,headphone,VERB
headquarters,B2,headquarter,NOUN
headteacher,A2,headteacher,PROPN
heal,B1,heal,VERB
healing,B1,healing,NOUN
health,A1,health,NOUN
health care,B2,health,NOUN
healthy,A1,healthy,ADJ
heap,B2,heap,NOUN
heap,B2,heap,NOUN
hear,A1,hear,VERB
hearing,B1,hear,VERB
heart,A1,heart,NOUN
heart attack,B1,heart,NOUN
heartbreaking,B2,heartbreake,VERB
hearted,B1,hearte,VERB
heartwarming/heart-warming,B2,heartwarming,NOUN
hearty,B1,hearty,ADJ
heat,A2,heat,NOUN
heat,B1,heat,NOUN
heater,B1,heater,PROPN
heating,A2,heating,NOUN
heaven,B1,heaven,PROPN
heavenly,B1,heavenly,ADV
heavily,A2,heavily,ADV
heavy,A1,heavy,ADJ
hedge,B2,hedge,NOUN
heel,B1,heel,VERB
height,B1,height,NOUN
helicopter,B2,helicopter,NOUN
hell,B2,hell,NOUN
hello,A1,hello,INTJ
helmet,B1,helmet,NOUN
help,A2,help,VERB
help,A1,help,VERB
helper,B2,helper,NOUN
helpful,A2,helpful,ADJ
helpless,B1,helpless,ADJ
hemp,B2,hemp,ADV
her,A1,she,PRON
her,A1,she,PRON
herb,B2,herb,NOUN
herd,B1,herd,PROPN
here,A1,here,ADV
heritage,B2,heritage,NOUN
hero,A2,hero,NOUN
hers,A1,her,NOUN
herself,A2,herself,PRON
hesitate,B1,hesitate,VERB
hesitation,B2,hesitation,NOUN
hey,A2,hey,INTJ
hi,A1,hi,INTJ
hidden,B1,hide,VERB
hide,A1,hide,VERB
high,A1,high,ADJ
high,A2,high,ADJ
high school,A2,high,ADJ
highlight,B2,highlight,PROPN
highlight,B1,highlight,PROPN
highly,B1,highly,ADV
high-tech/hi-tech,B2,high,ADJ
highway,A2,highway,NOUN
hijack,B2,hijack,NOUN
hijack,B2,hijack,NOUN
hike,A2,hike,NOUN
hiking,A2,hike,VERB
hilarious,B2,hilarious,ADJ
hill,A1,hill,PROPN
him,A1,he,PRON
himself,A2,himself,PRON
hint,B2,hint,NOUN
hip,B1,hip,NOUN
hip hop/hip-hop/hiphop,A2,hip,PROPN
hire,B1,hire,VERB
his,A1,his,PRON
his,A1,his,PRON
historian,B1,historian,PROPN
historic,B1,historic,ADJ
historical,B1,historical,ADJ
history,A1,history,NOUN
hit,B1,hit,VERB
hit,A2,hit,VERB
HIV,B1,HIV,PROPN
hobby,A1,hobby,NOUN
hockey,A2,hockey,PROPN
hold,A1,hold,VERB
hold,A2,hold,VERB
holder,B2,holder,PROPN
hole,A1,hole,NOUN
holiday,A1,holiday,NOUN
hollow,B2,hollow,ADJ
holocaust,B2,holocaust,PRON
holy,B1,holy,PROPN
home,A2,home,NOUN
home,A1,home,NOUN
homeless,B1,homeless,ADJ
hometown,A1,hometown,NOUN
homeward,B2,homeward,NOUN
homework,A1,homework,PROPN
hone,B2,hone,NOUN
honest,B1,honest,ADJ
honestly,B1,honestly,ADV
honesty,B1,honesty,NOUN
honey,A2,honey,NOUN
honeymoon,B1,honeymoon,NOUN
honor/honour,A2,honor,NOUN
honor/honour,B2,honor,NOUN
honorable/honourable,B2,honorable,ADJ
hood,B2,hood,NOUN
hook,B2,hook,NOUN
hook,B2,hook,NOUN
hop,B1,hop,PROPN
hope,A1,hope,NOUN
hope,B1,hope,NOUN
hopeful,B1,hopeful,ADJ
hopefully,B1,hopefully,ADV
hopeless,B1,hopeless,ADJ
horizon,B1,horizon,NOUN
horn,B1,horn,VERB
horrible,B1,horrible,ADJ
horrify,B1,horrify,VERB
horror,A2,horror,NOUN
horse,A1,horse,NOUN
hospice,B2,hospice,NOUN
hospitable,B2,hospitable,ADJ
hospital,A1,hospital,NOUN
hospitality,B2,hospitality,NOUN
hospitalize/hospitalise,B2,hospitalize,PROPN
host,A2,host,NOUN
hostel,B1,hostel,NOUN
hot,A1,hot,ADJ
hotel,A1,hotel,NOUN
hour,A1,hour,NOUN
hourly,B2,hourly,ADV
house,A1,house,PROPN
household,B1,household,NOUN
housekeeper,B2,housekeeper,NOUN
housemaster,B2,housemaster,PROPN
housewife,B2,housewife,NOUN
housework,B1,housework,NOUN
hover,B2,hover,ADV
how,A1,how,SCONJ
however,A2,however,ADV
hug,B2,hug,PROPN
hug,A2,hug,PROPN
huge,B1,huge,ADJ
hugely,B2,hugely,ADV
human,A2,human,NOUN
human,B1,human,NOUN
human rights,B2,human,ADJ
humane,B2,humane,PROPN
humanist,B2,humanist,NOUN
humanity,B1,humanity,NOUN
humanize/humanise,B2,humanize,NOUN
humble,B2,humble,ADJ
humbug,B2,humbug,PROPN
humid,B1,humid,PROPN
humiliate,B2,humiliate,VERB
humiliating,B2,humiliating,ADJ
humiliation,B2,humiliation,NOUN
humor/humour,B1,humor,PROPN
humorous,B1,humorous,ADJ
hundred,A2,hundred,NUM
hunger,B1,hunger,NOUN
hungry,A1,hungry,ADJ
hunt,B1,hunt,NOUN
hunt,B1,hunt,NOUN
hunter,A2,hunter,NOUN
hunting,B2,hunt,VERB
hurriedly,B1,hurriedly,ADV
hurry,A1,hurry,VERB
hurry,A2,hurry,VERB
hurt,B1,hurt,VERB
hurt,A1,hurt,VERB
husband,A1,husband,NOUN
hush,B2,hush,ADJ
hut,B1,hut,NOUN
hybrid,B2,hybrid,NOUN
hygiene,B2,hygiene,VERB
hyperbole,B2,hyperbole,PROPN
hyphen,B2,hyphen,ADV
I,A1,I,PRON
ice,A1,ice,NOUN
ice cream,A1,ice,NOUN
ice hockey,B1,ice,NOUN
ice skating,B1,ice,NOUN
iceman,B2,iceman,PROPN
icon,B2,icon,NOUN
icy,B2,icy,ADJ
ID,A2,ID,PROPN
ID card,A2,ID,PROPN
idea,A1,idea,NOUN
ideal,A1,ideal,ADJ
ideally,B2,ideally,ADV
identical,B2,identical,ADJ
identification,B2,identification,NOUN
identify,B2,identify,VERB
identity,B1,identity,NOUN
identity card,B1,identity,NOUN
ideology,B2,ideology,NOUN
idiom,B1,idiom,NOUN
idiot,B2,idiot,NOUN
idle,B2,idle,PROPN
idol,B1,idol,PROPN
idolize/idolise,B2,idolize,VERB
if,A1,if,SCONJ
ignorance,B2,ignorance,NOUN
ignorant,B2,ignorant,ADJ
ignore,B1,ignore,VERB
ill,A2,ill,PROPN
illegal,A2,illegal,ADJ
illegally,B1,illegally,ADV
illness,B1,illness,NOUN
illuminate,B1,illuminate,VERB
illustrate,B2,illustrate,VERB
illustration,B2,illustration,NOUN
image,A2,image,NOUN
imagery,B2,imagery,PROPN
imaginary,B1,imaginary,ADJ
imagination,A2,imagination,NOUN
imagine,A1,imagine,VERB
imitate,B1,imitate,VERB
imitation,B2,imitation,NOUN
immediate,B1,immediate,ADJ
immediately,B1,immediately,ADV
immerse,B2,immerse,ADV
immigrant,B2,immigrant,NOUN
immigrate,B1,immigrate,VERB
immigration,B1,immigration,NOUN
immoral,B2,immoral,ADJ
immortal,B2,immortal,ADJ
immortality,B2,immortality,NOUN
impact,A2,impact,NOUN
impair,B1,impair,NOUN
impartial,B2,impartial,ADJ
impatient,A2,impatient,ADJ
impatiently,B2,impatiently,ADV
imperative,B2,imperative,ADJ
impermanent,B2,impermanent,NOUN
implement,B2,implement,VERB
implement,B2,implement,VERB
implication,B2,implication,NOUN
imply,B2,imply,VERB
impolite,B2,impolite,ADJ
impolitely,B2,impolitely,ADV
import,B2,import,NOUN
importance,A2,importance,NOUN
important,A1,important,ADJ
importantly,A2,importantly,ADV
impose,B2,impose,VERB
impossibility,B2,impossibility,NOUN
impossible,A2,impossible,ADJ
impractical,B2,impractical,ADJ
impress,A2,impress,VERB
impressed,B2,impress,VERB
impression,B1,impression,NOUN
impressionism,B2,impressionism,NOUN
impressionist,B2,impressionist,PROPN
impressive,B1,impressive,ADJ
imprison,B2,imprison,NOUN
imprisonment,B2,imprisonment,NOUN
improbable,B2,improbable,ADJ
improper,B1,improper,ADJ
improperly,B2,improperly,ADV
improve,A2,improve,VERB
improved,B2,improve,VERB
improvement,B1,improvement,NOUN
impulse,B2,impulse,NOUN
impulsive,B2,impulsive,ADJ
in,A2,in,ADP
in,A1,in,ADP
inaccurate,B2,inaccurate,NOUN
inadequate,B2,inadequate,ADJ
inanimate,B2,inanimate,VERB
inborn,B2,inborn,VERB
incense,B2,incense,NOUN
incentive,B2,incentive,NOUN
inch,A2,inch,NOUN
inch,B2,inch,NOUN
incident,B1,incident,NOUN
include,A2,include,VERB
including,B1,include,VERB
income,B1,income,NOUN
inconvenient,B1,inconvenient,NOUN
incorrect,B1,incorrect,ADJ
increase,B1,increase,NOUN
increase,A2,increase,NOUN
increasingly,B1,increasingly,ADV
incredible,B1,incredible,ADJ
incredibly,B1,incredibly,ADV
incur,B2,incur,NOUN
incurable,B2,incurable,ADJ
indebted,B2,indebte,VERB
indeed,A2,indeed,ADV
indefinite article,B1,indefinite,ADJ
indent,B2,indent,NOUN
independence,A2,independence,NOUN
independent,B1,independent,ADJ
independently,B2,independently,ADV
indescribable,B2,indescribable,ADJ
index,B2,index,NOUN
indicate,A2,indicate,VERB
indifferent,B2,indifferent,ADJ
indignity,B2,indignity,NOUN
indirect,B1,indirect,ADJ
indirectly,B1,indirectly,ADV
indispensable,B2,indispensable,ADJ
individual,B1,individual,NOUN
individual,B2,individual,NOUN
indoor,A2,indoor,ADJ
indoors,B1,indoor,NOUN
indulge,B2,indulge,VERB
indulgent,B2,indulgent,ADJ
industrial,B1,industrial,ADJ
industrialize/industrialise,B2,industrialize,PROPN
industry,B1,industry,NOUN
ineffective,B2,ineffective,ADJ
inert,B2,inert,PROPN
inevitable,B1,inevitable,ADJ
inexpensive,A2,inexpensive,ADJ
inexperienced,B2,inexperienced,ADJ
infant,B2,infant,NOUN
infect,B2,infect,VERB
infected,B2,infect,VERB
infection,B1,infection,NOUN
infectious,B2,infectious,ADJ
infer,B2,infer,NOUN
inference,B2,inference,NOUN
infinitive,B1,infinitive,VERB
inflammation,B2,inflammation,NOUN
inflammatory,B2,inflammatory,ADJ
inflate,B2,inflate,VERB
inflation,B2,inflation,NOUN
influence,A2,influence,NOUN
influence,B2,influence,NOUN
influential,B2,influential,ADJ
influenza,B2,influenza,NOUN
inform,B1,inform,VERB
informal,B2,informal,ADJ
information,A1,information,NOUN
informative,B1,informative,ADJ
infringe,B2,infringe,NOUN
infringement,B2,infringement,NOUN
ingredient,B1,ingredient,NOUN
inhabit,B2,inhabit,NOUN
inhabitant,B1,inhabitant,ADJ
inhale,B1,inhale,PROPN
inherit,B2,inherit,NOUN
initial,B2,initial,ADJ
initial,B1,initial,ADJ
initially,B1,initially,ADV
initiative,B2,initiative,NOUN
inject,B1,inject,VERB
injection,B2,injection,NOUN
injure,A2,injure,VERB
injured,B2,injure,VERB
injury,B1,injury,NOUN
ink,B1,ink,NOUN
innate,B2,innate,VERB
inner,A2,inner,ADJ
innermost,B1,innermost,VERB
innocent,B1,innocent,ADJ
innocently,B2,innocently,ADV
innovation,B2,innovation,NOUN
innovative,B2,innovative,ADJ
innovator,B1,innovator,NOUN
input,B2,input,VERB
inquire/enquire,B2,inquire,NOUN
inquiry/enquiry,B1,inquiry,NOUN
insane,B1,insane,ADJ
inscribe,B1,inscribe,VERB
inscription,B1,inscription,NOUN
insect,A2,insect,NOUN
inseparable,B2,inseparable,ADJ
inside,B2,inside,ADV
inside,A2,inside,ADV
inside,B2,inside,ADV
inside,A1,inside,ADV
insight,B1,insight,NOUN
insist,B1,insist,VERB
inspect,B2,inspect,VERB
inspection,B1,inspection,NOUN
inspector,B2,inspector,NOUN
inspiration,A2,inspiration,NOUN
inspirational,B2,inspirational,ADJ
inspire,B1,inspire,NOUN
install/instal,B1,install,NOUN
instance,B1,instance,NOUN
instant,A2,instant,NOUN
instantly,B2,instantly,ADV
instead,A2,instead,ADV
instead of,B1,instead,ADV
instill/instil,B2,instill,PROPN
instinct,B2,instinct,ADJ
institute,B1,institute,PROPN
institution,B2,institution,NOUN
instruct,B2,instruct,VERB
instruction,B1,instruction,NOUN
instructor,B1,instructor,NOUN
instrument,A2,instrument,NOUN
insufficient,B2,insufficient,ADJ
insult,B2,insult,NOUN
insult,B2,insult,NOUN
insurance,B1,insurance,NOUN
integrate,B2,integrate,VERB
intellectual,B2,intellectual,ADJ
intellectual,B2,intellectual,ADJ
intelligence,A2,intelligence,NOUN
intelligent,A2,intelligent,ADJ
intend,B1,intend,VERB
intense,B1,intense,ADJ
intensive,B1,intensive,ADJ
intent,B2,intent,NOUN
intention,B1,intention,NOUN
intentionally,B1,intentionally,ADV
interact,B1,interact,VERB
interaction,B1,interaction,NOUN
interactive,B2,interactive,ADJ
interest,A2,interest,NOUN
interest,B1,interest,NOUN
interested,A1,interested,ADJ
interesting,A1,interesting,ADJ
interfere,B2,interfere,VERB
interior,B2,interior,ADJ
intermediate,B1,intermediate,ADJ
intermission,B1,intermission,NOUN
internal,B1,internal,ADJ
international,A2,international,PROPN
internationally,B1,internationally,ADV
Internet/internet,A1,internet,NOUN
interpersonal,B2,interpersonal,ADJ
interpret,B2,interpret,VERB
interpretation,B2,interpretation,NOUN
interpreter,B2,interpreter,NOUN
interrupt,B1,interrupt,ADJ
interruption,B2,interruption,NOUN
intersection,B2,intersection,NOUN
interval,B1,interval,NOUN
interview,A1,interview,NOUN
interview,B1,interview,NOUN
interviewee,B1,interviewee,NOUN
interviewer,A1,interviewer,NOUN
intimate,B2,intimate,VERB
into,A1,into,ADP
intransitive,B2,intransitive,ADJ
intravenous,B2,intravenous,ADJ
introduce,A1,introduce,VERB
introduction,B1,introduction,NOUN
intrude,B2,intrude,VERB
intruder,B2,intruder,NOUN
intrusion,B2,intrusion,NOUN
